DEBUG: x=0.288074, struve=0.081778
DEBUG: x=0.288529, struve=0.082035
DEBUG: x=0.288983, struve=0.082292
DEBUG: x=0.289437, struve=0.082550
DEBUG: x=0.289892, struve=0.082808
DEBUG: x=0.290346, struve=0.083066
DEBUG: x=0.290801, struve=0.083325
DEBUG: x=0.291255, struve=0.083584
DEBUG: x=0.291709, struve=0.083844
DEBUG: x=0.292164, struve=0.084103
DEBUG: x=0.292618, struve=0.084364
DEBUG: x=0.293072, struve=0.084624
DEBUG: x=0.293527, struve=0.084886
DEBUG: x=0.293981, struve=0.085147
DEBUG: x=0.294436, struve=0.085409
DEBUG: x=0.294890, struve=0.085671
DEBUG: x=0.295344, struve=0.085934
DEBUG: x=0.295799, struve=0.086197
DEBUG: x=0.296253, struve=0.086460
DEBUG: x=0.296707, struve=0.086724
DEBUG: x=0.297162, struve=0.086989
DEBUG: x=0.297616, struve=0.087253
DEBUG: x=0.298071, struve=0.087518
DEBUG: x=0.298525, struve=0.087784
DEBUG: x=0.298979, struve=0.088049
DEBUG: x=0.299434, struve=0.088316
DEBUG: x=0.299888, struve=0.088582
DEBUG: x=0.300342, struve=0.088849
DEBUG: x=0.300797, struve=0.089117
DEBUG: x=0.301251, struve=0.089385
DEBUG: x=0.301706, struve=0.089653
DEBUG: x=0.302160, struve=0.089921
DEBUG: x=0.302614, struve=0.090190
